ID,URL,Video_ID,Titulo,Canal,Fecha_Subida,Duracion_Segundos,Resolucion,FPS,Formato,FileSize_Bytes,Thumbnail_URL,Ruta_Portada
51,https://www.youtube.com/watch?v=NGBLP4gaxck,NGBLP4gaxck,Derecho penal 1 clase 8,Milton Villeda,20220219,2107,854x480,30,mp4,112951561,https://i.ytimg.com/vi/NGBLP4gaxck/sddefault.jpg?sqp=-oaymwEmCIAFEOAD8quKqQMa8AEB-AHUBoAC4AOKAgwIABABGGUgUShLMA8=&rs=AOn4CLAdufiQrvBeNW0plp81F67-R0OhUQ,portadas-yt\NGBLP4gaxck.jpg
52,https://www.youtube.com/watch?v=fSQa9Rw5ciI,fSQa9Rw5ciI,Derecho Penal 1 clase 9,Milton Villeda,20220310,3181,854x480,30,mp4,203280914,https://i.ytimg.com/vi/fSQa9Rw5ciI/hqdefault.jpg?sqp=-oaymwEmCOADEOgC8quKqQMa8AEB-AHUBoAC4AOKAgwIABABGHIgRSg7MA8=&rs=AOn4CLAYXZ-Zs8E23ajH56IwdHJTirqPsg,portadas-yt\fSQa9Rw5ciI.jpg
53,https://www.youtube.com/watch?v=deDthQAegq8,deDthQAegq8,Metodo de Minimos Cuadrados 2 clases de laboratorio UMSS,IRGT UMSS ,20221212,918,900x720,30,mp4,10505698,https://i.ytimg.com/vi/deDthQAegq8/maxresdefault.jpg,portadas-yt\deDthQAegq8.jpg
54,https://www.youtube.com/watch?v=pfG3VLb3HLo,pfG3VLb3HLo,Sesión 0 - Contabilidad de Costos - Prof. Candida Moreno,ID ZOOM 3 MODERADOR,20260518,576,1920x1080,25,mp4,20454082,https://i.ytimg.com/vi/pfG3VLb3HLo/maxresdefault.jpg,portadas-yt\pfG3VLb3HLo.jpg
55,https://www.youtube.com/watch?v=UmP4sEgbh34,UmP4sEgbh34,EXAMEN TECNOLOGÍA UMSS 1 2021 EJERCICIO #1 FÍSICA,PROFE CHRISTIAN  Preuniversitario Instituto CEPI ,20210309,571,1280x720,30,mp4,14594950,https://i.ytimg.com/vi/UmP4sEgbh34/maxresdefault.jpg,portadas-yt\UmP4sEgbh34.jpg
56,https://www.youtube.com/watch?v=L9YkIfxd2r4,L9YkIfxd2r4,Clase5 Geometría Analítica 2 Prof. J. Ovalle,VideosIMUNAM,20130306,2629,1280x720,30,mp4,429447065,https://i.ytimg.com/vi/L9YkIfxd2r4/maxresdefault.jpg,portadas-yt\L9YkIfxd2r4.jpg
57,https://www.youtube.com/watch?v=rHtg76J2hxE,rHtg76J2hxE,2º Bachillerato: Matemáticas II. Pizarra tradicional. Integral definida,Arias Cabezas,20160510,458,1920x1080,25,mp4,141593738,https://i.ytimg.com/vi/rHtg76J2hxE/maxresdefault.jpg,portadas-yt\rHtg76J2hxE.jpg
59,https://www.youtube.com/watch?v=02Ifd-V9zmI,02Ifd-V9zmI,psicologia politica,Jessica Rueda,20260510,233,1280x720,25,mp4,20381786,https://i.ytimg.com/vi/02Ifd-V9zmI/maxresdefault.jpg,portadas-yt\02Ifd-V9zmI.jpg
61,https://www.youtube.com/watch?v=R7GshNn2Ygc,R7GshNn2Ygc,ECO UNIVERSITARIO,GABRIELA LOPEZ CRUZ,20260512,1221,1920x1080,30,mp4,218592154,https://i.ytimg.com/vi/R7GshNn2Ygc/maxresdefault.jpg,portadas-yt\R7GshNn2Ygc.jpg
62,https://www.youtube.com/watch?v=1ls1t7OyHiQ,1ls1t7OyHiQ,Tarea   Grabación del video borrador,percy,20260516,74,1280x720,30,mp4,5483124,https://i.ytimg.com/vi/1ls1t7OyHiQ/maxresdefault.jpg,portadas-yt\1ls1t7OyHiQ.jpg
