ID,Titulo,URL,brillo,contraste,densidad_bordes,movimiento,color_h1,color_h2,color_h3,color_h4,color_s1,color_s2,color_s3,color_s4
1,Introducción a la Arquitectura de Sistemas - Clase 1: Introducción,https://www.youtube.com/watch?v=jkREZ1KHgQo,135.3039735099338,49.15960264900662,41.46450331125828,5.33887417218543,0.6451735099337749,0.2569311258278146,0.09064834437086092,0.007245695364238411,0.9560523178807947,0.023045033112582783,0.008209271523178806,0.012695364238410594
2,Introducción a la Arquitectura de Sistemas - Clase 2: Sistemas de representación de coma fija,https://www.youtube.com/watch?v=IzyjztxOIoY,,,,,,,,,,,,
3,Introducción a la Arquitectura de Sistemas - Clase 3: Sistemas de representación de coma flotante,https://www.youtube.com/watch?v=5lHYykk7suA,,,,,,,,,,,,
4,Introducción a la Arquitectura de Sistemas - Clase 4: Coma Flotante y Representación de texto,https://www.youtube.com/watch?v=4i4p_S2MPU0,,,,,,,,,,,,
5,Introducción a la Arquitectura de Sistemas - Clase 5: Representación de imágenes y vídeos,https://www.youtube.com/watch?v=7v_OLMDKFFg,209.72365755266696,63.60726131779471,51.42299865531152,1.3909950694755715,0.484718691169879,0.15665732855221873,0.33265006723442403,0.02597593007619901,0.9535133124159569,0.02403881667413716,0.008648184670551323,0.013798520842671448
6,Introducción a la arquitectura de software (01),https://www.youtube.com/watch?v=n6XvfUG4QBQ,104.60334851936217,27.206104783599088,15.915535307517084,6.223553530751709,0.46197653758542145,0.0010341685649202733,0.398779271070615,0.1382097949886105,0.9604296127562643,0.03686719817767654,0.0026316628701594535,6.902050113895217e-05
7,Matemática para programadores (01),https://www.youtube.com/watch?v=CbZPHgN6e90,99.03547169811321,37.454905660377364,20.102037735849056,7.182150943396226,0.4632045283018868,0.001902264150943396,0.43123169811320755,0.10365622641509435,0.8944056603773586,0.0865320754716981,0.013376981132075472,0.005687169811320755
8,Formalizar o no formalizar esa NO es la cuestión,https://www.youtube.com/watch?v=fGHv_OlPKjw,104.8716587677725,30.110710900473936,17.98791469194313,7.5133649289099536,0.43007535545023695,0.0005549763033175356,0.4286222748815166,0.14074644549763032,0.9418118483412322,0.050519905213270135,0.007545023696682465,0.0001232227488151659
9,Matemática para programadores (02),https://www.youtube.com/watch?v=kvLonxrJvtU,129.50821782178215,77.61103960396039,39.7759900990099,5.613663366336634,0.473629702970297,0.07221782178217821,0.1586881188118812,0.2954658415841584,0.6612534653465346,0.10187574257425742,0.025319306930693068,0.2115574257425743
10,S01 Definición y características de un algoritmo - Principios de Algoritmos UTP | Semana 01,https://www.youtube.com/watch?v=TvqJQukWk8o,72.53666666666666,88.04137055837563,60.041133671742806,2.7534348561759723,0.4956573604060913,0.06736175972927241,0.42181607445008457,0.01516362098138748,0.9026143824027073,0.06449509306260576,0.01566852791878173,0.01722148900169205
